STATEFIP,YEAR,weighted_count,count,weighted_mean,state_name
26,2000,9683698,96671,2.9220727453499684,Michigan
27,2000,4784168,48421,2.985168581036452,Minnesota
28,2000,2750354,27492,2.857488526931442,Mississippi
29,2000,5429676,54427,2.8997314020210414,Missouri
30,2000,877609,8903,3.0114982868224915,Montana
31,2000,1660002,16652,2.977365087511943,Nebraska
32,2000,1963663,19728,2.729952135371497,Nevada
33,2000,1200980,12074,2.8878907225765627,New Hampshire
34,2000,8219266,82133,2.9244651529710803,New Jersey
35,2000,1781201,17889,2.7442472803462383,New Mexico
36,2000,18401336,185614,2.7007167849117044,New York
37,2000,7797870,77473,2.860732738555529,North Carolina
38,2000,618267,6276,3.0388230327673966,North Dakota
39,2000,11045172,111146,2.9605835020043147,Ohio
40,2000,3335845,33584,2.7740512523813305,Oklahoma
41,2000,3339627,33670,2.796011949837512,Oregon
42,2000,11845305,119604,2.99107435393179,Pennsylvania
44,2000,1010120,10088,2.7800063358808855,Rhode Island
45,2000,3876610,38583,2.89522185620942,South Carolina
46,2000,726407,7300,3.0196528943140692,South Dakota
47,2000,5540639,55219,2.8831593251247734,Tennessee
48,2000,20285505,202444,2.708617852994047,Texas
49,2000,2192941,22116,3.3897642481033463,Utah
50,2000,588678,6008,2.9741437594066706,Vermont
51,2000,6843736,68035,3.0183009689444478,Virginia
53,2000,5761604,57774,2.8510820945000734,Washington
54,2000,1763247,17602,2.8519277219810952,West Virginia
55,2000,5207195,52837,2.9280823936879643,Wisconsin
56,2000,479321,4909,3.071688909937182,Wyoming
1,2010,4662328,231186,3.0471856548917193,Alabama
2,2010,684891,32167,2.9610040137773748,Alaska
4,2010,6268908,307953,3.02172276256088,Arizona
5,2010,2836093,139786,2.911342822678946,Arkansas
6,2010,36497576,1738027,2.8796758995720704,California
8,2010,4926495,242244,3.128555697306097,Colorado
9,2010,3453840,170699,2.9943691659138816,Connecticut
10,2010,875458,41669,3.1645995581741215,Delaware
11,2010,565879,27141,2.4936832785807566,District of Columbia
12,2010,18461535,910509,2.8943631718597613,Florida
13,2010,9454781,458325,3.1642362736905274,Georgia
15,2010,1319269,65828,3.0309277334645173,Hawaii
16,2010,1538681,76323,3.215905701051745,Idaho
17,2010,12520522,612917,2.9830547799844127,Illinois
18,2010,6297918,316742,3.0198648188179016,Indiana
19,2010,2948220,148296,3.03082775369545,Iowa
20,2010,2771928,137182,3.0856385880152732,Kansas
21,2010,4214385,211432,2.9976805631189367,Kentucky
22,2010,4401794,212334,2.9654445437473904,Louisiana
23,2010,1293440,62128,2.908940499752598,Maine
24,2010,5645634,277167,3.192480242254457,Maryland
25,2010,6316476,315512,2.9479663977192345,Massachusetts
26,2010,9666286,480755,3.0435268519884473,Michigan
27,2010,5176173,258739,3.1112700444903987,Minnesota
28,2010,2874376,139673,3.0273516756332506,Mississippi
29,2010,5808612,292358,3.005224311763292,Missouri
30,2010,962040,46136,3.077132967444181,Montana
31,2010,1776057,88029,3.0605830781331904,Nebraska
32,2010,2668131,129426,3.019121999631952,Nevada
33,2010,1277491,63636,2.9436802294497575,New Hampshire
34,2010,8605827,424385,3.0025992853446857,New Jersey
35,2010,2012373,93207,2.9465516581667512,New Mexico
36,2010,18808674,917000,2.7982002346364236,New York
37,2010,9286780,457229,3.006598734975955,North Carolina
38,2010,651023,32887,3.1191063910184433,North Dakota
39,2010,11225305,565900,3.037649756509957,Ohio
40,2010,3638185,177501,2.9392554254387835,Oklahoma
41,2010,3750413,184989,2.9302591474592266,Oregon
42,2010,12270919,604437,3.064851784939661,Pennsylvania
44,2010,1009510,49919,2.851767689274995,Rhode Island
45,2010,4490094,222754,3.0376911931019706,South Carolina
46,2010,782064,39194,3.1462335563329855,South Dakota
47,2010,6200053,306982,3.0059647877203632,Tennessee
48,2010,24625021,1172089,2.979822758323739,Texas
49,2010,2720196,135199,3.579109740621632,Utah
50,2010,600360,30178,2.9753647811313213,Vermont
51,2010,7772641,383760,3.1764995964692053,Virginia
53,2010,6597034,327389,3.0034920238398044,Washington
54,2010,1801372,87856,2.9557137559593465,West Virginia
55,2010,5537612,282534,2.9864898443589043,Wisconsin
56,2010,549070,27544,3.1505746079734824,Wyoming
