STATEFIP,YEAR,weighted_count,count,crowded,state_name
46,2020,36728,1827,4.2816207860518585,South Dakota
47,2020,265484,10276,3.9208579915519985,Tennessee
48,2020,2138355,73580,7.468603542925257,Texas
49,2020,147326,6239,4.561449027759243,Utah
50,2020,15209,674,2.457531674511572,Vermont
51,2020,295810,10524,3.5273088902350027,Virginia
53,2020,427258,17088,5.673879607376211,Washington
54,2020,45110,1918,2.590881887719645,West Virginia
55,2020,178802,8437,3.116419267342906,Wisconsin
56,2020,17341,919,3.0721234164152476,Wyoming
