STATEFIP,YEAR,weighted_count,count,weighted_mean,state_name
54,1990,1369818,13880,1.2044684038317504,West Virginia
55,1990,4659288,47228,1.2145604221074124,Wisconsin
56,1990,448596,4557,1.2074278415322484,Wyoming
1,2000,4331032,43342,1.1969360882117706,Alabama
2,2000,609202,6229,1.4996001326325223,Alaska
4,2000,5019932,50803,1.5506673563174447,Arizona
5,2000,2601749,26238,1.2466407917648201,Arkansas
6,2000,33044679,330240,1.963603413527869,California
8,2000,4198816,42103,1.2827316160873299,Colorado
9,2000,3297673,33022,1.246769343109525,Connecticut
10,2000,759046,7540,1.1625711748695104,Delaware
11,2000,536599,5401,1.5987558369160821,District of Columbia
12,2000,15594755,155762,1.3991274566352843,Florida
13,2000,7950780,79094,1.311275210314803,Georgia
15,2000,1175450,11862,1.7577152296283682,Hawaii
16,2000,1261898,12796,1.3294570823737997,Idaho
17,2000,12097469,120354,1.4040397086365783,Illinois
18,2000,5898674,58886,1.1956453150883202,Indiana
19,2000,2819139,28169,1.1743045423916068,Iowa
20,2000,2605802,25947,1.2188649342249815,Kansas
21,2000,3926749,39067,1.1602190853892982,Kentucky
22,2000,4334078,43177,1.3341892900866157,Louisiana
23,2000,1239622,12527,1.1148002778266284,Maine
24,2000,5162889,51411,1.2379907677013184,Maryland
25,2000,6128018,61543,1.2432805000463971,Massachusetts
26,2000,9683698,96671,1.2322069162008245,Michigan
27,2000,4784168,48421,1.2289211276304115,Minnesota
28,2000,2750354,27492,1.3075705890950764,Mississippi
29,2000,5429676,54427,1.2042469630477628,Missouri
30,2000,877609,8903,1.1832389101144876,Montana
31,2000,1660002,16652,1.1977031754580232,Nebraska
32,2000,1963663,19728,1.4959279078606313,Nevada
33,2000,1200980,12074,1.1954309952427753,New Hampshire
34,2000,8219266,82133,1.352512864287395,New Jersey
35,2000,1781201,17889,1.4428870370796756,New Mexico
36,2000,18401336,185614,1.5405192536020145,New York
37,2000,7797870,77473,1.22401183485577,North Carolina
38,2000,618267,6276,1.1063729478256714,North Dakota
39,2000,11045172,111146,1.1616297524988033,Ohio
40,2000,3335845,33584,1.2808326925661535,Oklahoma
41,2000,3339627,33670,1.3494498637123122,Oregon
42,2000,11845305,119604,1.1608001749779069,Pennsylvania
44,2000,1010120,10088,1.25032631436529,Rhode Island
45,2000,3876610,38583,1.21491762132378,South Carolina
46,2000,726407,7300,1.2049020498609337,South Dakota
47,2000,5540639,55219,1.208057912333448,Tennessee
48,2000,20285505,202444,1.583456038355139,Texas
49,2000,2192941,22116,1.3866754737131537,Utah
50,2000,588678,6008,1.1421818039743281,Vermont
51,2000,6843736,68035,1.205812602453787,Virginia
