"YEAR","cost_burden_bin","weighted_count","count","percent"
1980,0.5,6100,61,0.869441277080958
1990,0.97,1721,18,0.173744491613118
1980,0.96,800,8,0.114025085518814
1990,0.92,1505,18,0.151938094060281
1980,0.95,1200,12,0.171037628278221
2020,0.63,4406,193,0.369022851610266
2020,0.37,19095,802,1.59929445108898
2010,0.7,6561,298,0.4775595766672
2010,0.32,32970,1622,2.39980784068246
2010,0.89,3351,156,0.243911315563449
2010,0.66,6810,323,0.495683694117305
2010,0.54,11442,523,0.832835951261409
2010,0.41,20584,1021,1.49826037587527
2010,0.42,19799,967,1.44112209395426
2010,0.3,34350,1670,2.50025475667099
2010,0.19,28075,1372,2.04351243940431
2010,0.57,9838,449,0.716084608329815
2010,0.74,4420,216,0.321721281644418
2010,0.68,6313,314,0.459508246837378
2020,0.38,17681,747,1.4808654197279
2020,0.84,2232,92,0.186940309758083
2020,0.58,5784,253,0.484436716684925
2020,0.76,2937,128,0.245987316200488
2020,0.62,4165,174,0.348837988415061
2010,0.27,33966,1625,2.47230431048287
2010,0.97,2449,130,0.178256882069498
2010,0.08,11115,607,0.809034399429345
2010,0.4,23692,1142,1.72448429971031
2010,0.56,11663,560,0.84892201534363
2020,0.43,13374,542,1.12013427540529
2020,0.91,1900,74,0.159133776227759
2020,0.87,1881,94,0.157542438465481
2020,0.47,10940,477,0.916275532595623
2010,0.92,2536,130,0.184589405033992
2010,0.98,2768,125,0.20147613293931
1990,0.33,19025,206,1.92067922890155
2020,0.69,3372,154,0.282420575494739
1990,0.14,19027,209,1.92088113999001
2010,0.8,4717,222,0.343339204868036
1980,0.39,10000,100,1.42531356898518
1980,0.34,12800,128,1.82440136830103
1980,0.18,17000,170,2.4230330672748
1980,0.21,20000,200,2.85062713797035
1980,0.6,4800,48,0.684150513112885
1990,0.05,7041,77,0.71082798689597
1990,0.2,23784,247,2.40112666387356
1980,0.13,11000,110,1.56784492588369
1980,0.75,2400,24,0.342075256556442
1990,0.79,2864,32,0.289136678663551
1990,0.12,13343,148,1.34704982660885
1990,0.44,12463,137,1.25820894768988
2020,0.53,7495,314,0.627740869908975
1980,0.73,2100,21,0.299315849486887
2020,0.78,3026,131,0.253441477297473
1990,0.06,7824,85,0.789876178025007
2010,0.03,3786,194,0.27557393038592
1980,0.48,5000,50,0.712656784492588
1990,0.93,1280,16,0.129223096609408
2010,1,11,1,0.000800663823096968
2020,0.27,29886,1355,2.50309054544358
2020,0.54,7246,303,0.606885969761232
2020,0.92,1843,70,0.154359762940926
2020,0.19,31808,1421,2.66406692329082
2020,0.32,24424,1076,2.04562281609831
2020,0.3,25710,1164,2.15333125621878
2020,0.41,14268,637,1.1950109048514
2010,0.38,26223,1249,1.90870976664289
2010,0.58,9285,434,0.675833054314122
2010,0.78,5463,242,0.397638769598067
2010,0.62,8593,405,0.625464021079295
2010,0.37,26885,1236,1.95689517126927
2010,0.76,4902,235,0.356804914620121
2010,0.53,11971,579,0.871340602390345
2010,0.43,19332,912,1.40713027528278
2020,0.56,6739,286,0.564422377894141
2020,0.08,16826,795,1.40925522042541
2020,0.74,3382,129,0.283258121685411
2020,0.42,14730,619,1.23370553886047
2020,0.7,3884,169,0.325302940457166
1980,0.11,9100,91,1.29703534777651
1980,0.31,16900,169,2.40877993158495
1980,0.46,7200,72,1.02622576966933
1990,0.07,10708,107,1.08103196757308
1990,0.28,27708,296,2.79727621941678
2020,0.8,2773,104,0.232251558673461
2020,0.57,6694,271,0.560653420036115
2020,0.4,13974,619,1.17038704684563
2010,0.47,15968,781,1.16227272065567
2010,0.63,8611,361,0.626774198244363
2010,0.69,6050,299,0.440365102703332
1990,0.22,25973,282,2.6221183501845
1990,0.26,32232,332,3.25399910149566
1990,0.15,17868,191,1.80387366423196
1990,0.49,8057,82,0.813398819829688
2010,0.91,2529,143,0.184079891692021
2010,0.84,3950,195,0.287511100112093
2020,0.68,4434,187,0.371367980944149
2020,0.03,6160,322,0.515928453454208
2010,0.87,3366,149,0.245003129867672
1990,0.72,5037,47,0.508513076266866
1990,0.23,26741,294,2.69965220815014
1990,0.02,2959,29,0.29872745536503
2020,0.97,1840,57,0.154108499083724
2020,0.66,4121,190,0.345152785176102
1990,0.55,5303,59,0.535367251031009
2020,0.98,1929,72,0.161562660180709
1990,0,515,8,0.0519921052764415
2020,0.89,1503,82,0.125883192458064
1980,0.52,4400,44,0.627137970353478
2020,1,8,2,0.000670036952537932
2020,0.17,29334,1333,2.45685799571846
2020,0.09,17004,801,1.42416354261938
2020,0.5,7829,342,0.655714912677434
2020,0.04,9437,455,0.790392340137559
2020,0.29,30930,1312,2.59053036774978
2020,0.51,8386,371,0.702366235497888
2020,0.24,32603,1483,2.73065184544928
2010,0.94,3199,142,0.232847597280654
2010,0.82,3910,182,0.284599595300831
2010,0.16,22664,1169,1.64965862606088
2010,0.25,35812,1755,2.6066702575226
2010,0.1,14420,782,1.04959748445984
2010,0.81,4084,192,0.29726464122982
2010,0.65,7387,334,0.537682151019754
2010,0.9,2880,146,0.209628346410842
2020,0.36,20454,830,1.71311697840136
1980,0.23,21800,218,3.10718358038769
1980,0.26,18900,189,2.69384264538198
1980,0.55,4600,46,0.655644241733181
2020,0.88,1573,83,0.131746015792771
2010,0.45,17451,844,1.2702167615332
2010,0.99,2670,123,0.194342946151719
2020,0.35,20737,855,1.73681953559739
2010,0.77,4701,224,0.342174602943531
1990,0.11,14302,164,1.44386619352168
1990,0.31,26034,276,2.62827663838229
2010,0.85,3433,174,0.249879900426535
1980,0.15,13300,133,1.89566704675028
2010,0.64,7326,334,0.53324210618258
1980,0.22,18100,181,2.57981755986317
1980,0.07,4900,49,0.698403648802737
1980,0.28,18900,189,2.69384264538198
1990,0.52,7712,81,0.778569157071684
2020,0.59,5092,228,0.426478520290394
1980,0.49,6600,66,0.940706955530217
1990,0.46,11471,119,1.15806104781759
2010,0.71,5196,257,0.378204474982895
2010,0.01,962,51,0.0700216907108439
2010,0.83,3690,183,0.268586318838892
2020,0.96,1682,63,0.1408752692711
2020,0.86,2754,110,0.230660220911183
2020,0.95,1737,68,0.145481773319799
2020,0.67,3838,173,0.321450227980073
2020,0.61,5958,222,0.499010020402625
1980,0.72,1700,17,0.24230330672748
1980,0.02,200,2,0.0285062713797035
